X,Y,fid,NAME,NAME_EN,NATURAL,ELE,MOUNTAIN_P,OSM_TYPE,OSM_ID,icon_url
-68.3993415,12.2738773,"853",Mount Brandaris,,peak,"241",,node,"9523939999",./0.png
-68.387517,12.2940785,"855",,,peak,,,node,"9906084429",./0.png
