X,Y,fid,NAME,NAME_EN,WATERWAY,OSM_TYPE,OSM_ID,icon_url
-68.2893863,12.171676,"10",La Machaca,,wreck,node,"635094207",./0.png
-68.2901176,12.1037524,"11",Hilma Hooker,,wreck,node,"635881808",./0.png
-68.2840851,12.163598,"35",,,fuel,node,"3857276487",./0.png
